"Price","Displacement","BHP","Torque","Acceleration","TopSpeed","Weight","Length","Width","Height"
21250,1598,105,236,11.3,115,1385,4351,1798,1465
15155,1368,105,95,10.7,116,1090,4063,1720,1446
30995,1329,98,92,11.8,106,988,3078,1680,1500
396000,5935,510,420,4.2,190,1680,4385,1865,1250
189995,5935,573,457,4.1,183,1739,4720,1910,1294
84995,4735,420,346,4.7,180,1630,4385,1865,1260
93995,4735,420,346,4.7,180,1710,4385,1865,1270
17025,1197,86,118,11.7,112,1040,3954,1740,1416
22580,1395,122,147,9.3,126,1175,4237,1777,1421
31530,1968,177,280,8.2,143,1480,4701,1826,1477
33525,1984,225,258,6.5,149,1610,4699,1826,1436
36620,2967,204,295,7.1,146,1565,4626,1854,1372
33265,1984,211,258,6.6,150,1615,4712,1854,1391
44310,2967,245,427,6.3,151,1790,4926,1874,1461
39960,2967,245,427,6.1,155,1720,4915,1874,1455
49095,2995,300,324,5.6,155,1770,4969,1911,1420
68785,4134,350,590,5.5,155,1995,5137,1949,1460
29260,1968,140,236,9.9,122,1535,4385,1831,1608
32570,1968,143,236,11.4,118,1755,4629,1880,1653
46485,2967,245,405,7.8,135,2300,5089,1983,1737
91575,4163,430,317,4.6,188,1560,4440,1904,1252
121375,5204,525,390,3.1,194,1720,4440,1904,1244
54925,4163,450,317,4.7,155,1795,4719,1850,1416
32140,1984,211,258,5.6,150,1360,4178,1842,1352
34120,1984,211,258,5.8,149,1405,4178,1842,1358
137760,5998,575,516,4.4,198,2320,4806,1944,1404
136250,3993,500,487,4.7,187,2470,4806,1920,1403
133200,5998,556,479,4.9,195,2475,5290,1920,1475
226955,6750,512,752,5.1,184,2585,5562,1926,1526
22240,1995,143,236,8.9,132,1395,4324,1765,1421
27990,1995,173,258,8.1,138,1585,4360,1748,1411
25975,1995,170,154,7.8,139,1375,4360,1748,1423
31560,1997,245,258,5.9,155,1430,4624,1811,1429
39075,2996,218,199,7.6,152,1730,4580,1782,1384
35095,1997,245,258,5.9,155,1525,4638,1825,1362
64230,2979,320,331,5.4,155,1735,4894,1894,1369
70110,2979,320,331,5.7,155,1915,4894,1894,1365
63895,2993,313,464,5.4,155,1865,5007,1894,1392
71340,4395,449,479,4.8,155,2015,5079,1902,1471
33830,647,170,184,7.9,93,1315,3999,1775,1578
58640,3999,420,295,5.3,155,1885,4615,1804,1392
33830,1995,184,280,8.5,130,1790,4648,1881,1675
60020,4395,449,479,5,155,2175,4896,1938,1762
57910,4395,408,442,5.4,149,2265,4877,1983,1690
36810,1997,245,258,5.7,155,1490,4239,1790,1291
1139985,7993,987,922,2.5,252,1990,4462,1998,1204
44995,2261,260,200,3.1,155,575,3300,1685,1140
22995,1596,125,120,5.9,112,550,3380,1575,1115
