Dataset,Rep,Method,MSPE,MedSPE,Active,SignalSelected,NoiseSelected,Precision,Recall,F1
Boston,1,AdL,37.16082340408438,10.598435385425018,20,12,8,0.6,0.9230769230769231,0.7272727272727274
Boston,1,AdEnet,37.16082340408438,10.598435385425018,20,12,8,0.6,0.9230769230769231,0.7272727272727274
Boston,1,HAdL,43.08608547618474,8.086417624629078,18,11,7,0.6111111111111112,0.8461538461538461,0.7096774193548387
Boston,1,T-AdL,49.24668703567877,7.2536563888091745,17,11,6,0.6470588235294118,0.8461538461538461,0.7333333333333334
Boston,1,S-LTS,53.33086242852696,9.688241450634516,8,7,1,0.875,0.5384615384615384,0.6666666666666667
Boston,1,RLARS,49.803884646900705,9.200333601619482,4,4,0,1.0,0.3076923076923077,0.47058823529411764
Boston,1,Welsch-AdEnet,48.60432791297382,7.5757536208370375,17,11,6,0.6470588235294118,0.8461538461538461,0.7333333333333334
Boston,2,AdL,30.405663301298215,8.640258427422967,22,10,12,0.45454545454545453,0.7692307692307693,0.5714285714285714
Boston,2,AdEnet,30.43314374310425,8.769753372768534,22,10,12,0.45454545454545453,0.7692307692307693,0.5714285714285714
Boston,2,HAdL,34.55020605381047,7.591962486084755,21,11,10,0.5238095238095238,0.8461538461538461,0.6470588235294118
Boston,2,T-AdL,39.321486589072016,6.867256014439741,19,10,9,0.5263157894736842,0.7692307692307693,0.625
Boston,2,S-LTS,39.948681144811765,4.947381883088381,9,8,1,0.8888888888888888,0.6153846153846154,0.7272727272727274
Boston,2,RLARS,37.14054153293242,7.631203089266863,9,7,2,0.7777777777777778,0.5384615384615384,0.6363636363636364
Boston,2,Welsch-AdEnet,38.74094913925733,7.058173917827239,19,10,9,0.5263157894736842,0.7692307692307693,0.625
Boston,3,AdL,25.78938221156013,5.716454423668391,18,11,7,0.6111111111111112,0.8461538461538461,0.7096774193548387
Boston,3,AdEnet,25.78938221156013,5.716454423668391,18,11,7,0.6111111111111112,0.8461538461538461,0.7096774193548387
Boston,3,HAdL,27.451710371867982,3.5882584239286537,16,12,4,0.75,0.9230769230769231,0.8275862068965517
Boston,3,T-AdL,30.165392722125944,3.6581349336271742,16,12,4,0.75,0.9230769230769231,0.8275862068965517
Boston,3,S-LTS,35.06014036472779,4.934335233117173,13,9,4,0.6923076923076923,0.6923076923076923,0.6923076923076923
Boston,3,RLARS,31.31056744600524,4.7785119509983405,10,8,2,0.8,0.6153846153846154,0.6956521739130435
Boston,3,Welsch-AdEnet,29.900240605953112,3.674225238980723,16,12,4,0.75,0.9230769230769231,0.8275862068965517
