Method,MedSPE_median,MedSPE_se,TP_mean,FP_mean,ModelSize_median,Precision_median,Recall_median,F1_median,Dataset
AdEnet,6.697296456032822,0.39047411928268244,10.9,10.4,20.5,0.49,0.8461538461538461,0.6213450292397661,Boston
AdL,6.645255754025803,0.38245794152269735,11.05,10.7,21.0,0.5,0.8461538461538461,0.632016632016632,Boston
HAdL,5.939750070286152,0.35027092439370416,11.25,7.95,18.5,0.5789473684210527,0.8461538461538461,0.6875,Boston
RLARS,7.367245656044293,0.35400257519887673,5.95,1.4,8.0,0.8,0.46153846153846156,0.5714285714285714,Boston
S-LTS,5.8950935970490805,0.3300825375692091,7.85,1.45,9.0,0.8819444444444444,0.6153846153846154,0.6978260869565218,Boston
T-AdL,5.996394270732152,0.3265892767102028,11.15,6.85,18.0,0.6180555555555556,0.8461538461538461,0.7272727272727274,Boston
Welsch-AdEnet,6.0891812686405045,0.34453770518424576,10.8,6.55,17.0,0.625,0.8461538461538461,0.716577540106952,Boston
AdEnet,1.8484298612567112,0.2083268401282154,2.15,13.6,16.0,0.1318840579710145,0.6666666666666666,0.2222222222222222,hbk
AdL,1.832261926905194,0.22134995311008315,2.15,13.95,17.0,0.12771739130434784,0.6666666666666666,0.21637426900584794,hbk
HAdL,0.49002206889236455,0.03759503760732257,1.4,5.75,6.5,0.2111111111111111,0.5,0.2967032967032967,hbk
RLARS,1.8692672906615693,0.21575068688539864,0.9,1.4,0.0,0.0,0.0,0.0,hbk
S-LTS,0.44044406842240236,0.04656322011673485,2.9,0.7,3.0,1.0,1.0,1.0,hbk
T-AdL,0.4919521923471196,0.07014472701719457,1.65,3.6,5.0,0.3666666666666667,0.6666666666666666,0.4444444444444444,hbk
Welsch-AdEnet,0.504474933505621,0.07955358745999266,1.65,3.3,5.0,0.3666666666666667,0.6666666666666666,0.4722222222222222,hbk
AdEnet,141.918485373876,21.159097126439615,37.4,13.0,50.0,0.7395652173913043,0.23148148148148145,0.35377358490566035,nci60
AdL,141.8500506306188,21.1227315718427,37.6,13.05,50.5,0.7395652173913043,0.23148148148148145,0.35377358490566035,nci60
HAdL,137.96588935671622,20.995351821803283,39.3,13.75,53.0,0.7364417989417988,0.24691358024691357,0.37123169681309215,nci60
RLARS,98.30974860346168,16.89908080750771,3.1,1.35,5.0,0.7083333333333333,0.018518518518518517,0.03571428571428571,nci60
S-LTS,123.64039321571876,9.461626712240053,21.1,7.4,29.5,0.7459677419354839,0.13271604938271603,0.22569444444444442,nci60
T-AdL,84.67145767315527,8.419984040922865,0.2,0.05,0.0,0.0,0.0,0.0,nci60
Welsch-AdEnet,83.03627529542608,8.521191814566933,0.35,0.05,0.0,0.0,0.0,0.0,nci60
